PIN,complete,date,calendar_time,location,commit,version,parameter_name,parameter_value
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,video_duration,30
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,video_sound,FALSE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_video,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_text_video,<p>Watch and see what happened to one of the snacks.</p><br><p> press any key to begin.</p>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_video,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_text_video,"<p>The vending machine is still overflowing, and you can tip it again now.</p><br> <p>The coloured lights will sometimes appear.</p><br> <p>You won't always see the snack fall out. All the snacks you get will be recorded.</p><br><p>Get all the snacks that you want!</p><br><p>Press any key to begin. </p>"
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_FHQ_pre_rating,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_FHQ_pre_rating,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_text_FHQ_pre_rating,Now we would like to ask you some questions about your food preferences.<p> Press any key to continue. </p>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_text_FHQ_pre_rating,Thank you. That is it for the food questions for now.<p> Press any key to continue. </p>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_FHQ_post_rating,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_FHQ_post_rating,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_text_FHQ_post_rating,Now we would again like to ask you some questions about your food preferences.<p> Press any key to continue. </p>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_text_FHQ_post_rating,Thank you. That is it for the food questions.<p> Press any key to continue. </p>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,FHQ_1,How much would you like a Tiny Teddy?
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,FHQ_2,How much would you like an M&M?
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,FHQ_3,How much would you like a BBQ shape?
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,FHQ_4,How hungry do you feel right now?
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,FHQ_1_bottom_text,Rate the desire for a Tiny Teddy
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,FHQ_2_bottom_text,Rate your desire for an M&M
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,FHQ_3_bottom_text,Rate your desire for a BBQ shape
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,FHQ_VAS_left,Not at all
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,FHQ_VAS_center,""
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,FHQ_VAS_right,Very much
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,FHQ_VAS_left_hungry,Not at All
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,FHQ_VAS_right_hungry,Extremely
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,VVR_q_text_a1,Which direction did you tilt to get
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,VVR_q_text_a2,Press left or right button
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,VVR_q_text_b1,How strongly do you believe in your answer?
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,VVR_q_text_b2,Very little
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,VVR_q_text_b3,Very much
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,VVR_q_text_b4,<li><span>Please select your answer on the scale.</span></li>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_VVR1,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_VVR1,FALSE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_text_VVR1,<p>A vending machine is overflowing with snacks.</p><br><p>You can tip the machine and see what snacks fall out.</p><br><p>Get all the snacks that you want!</p><br><p>Press any key to begin.</p>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_text_VVR1,Thank you for your input. Proceeding to the next stage.
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,degrad_pattern_VVR1,d0
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,prob_value_VVR1,0.2
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,min_blocks_num_VVR1,2
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,min_num_correct_VVR1,4
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,max_num_incorrect_VVR1,4
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_VVR2,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_VVR2,FALSE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_text_VVR2,<p>The vending machine is still overflowing with snacks.</p><br><p>You can tip the machine and see what snacks fall out.</p><br><p>Get all the snacks that you want!</p><br><p>Press any key to begin.</p>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_text_VVR2,Thank you for your input. Proceeding to the next stage.
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,degrad_pattern_VVR2,d1
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,prob_value_VVR2,0.2
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,min_blocks_num_VVR2,2
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,min_num_correct_VVR2,0
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,max_num_incorrect_VVR2,0
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_VVR3,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_VVR3,FALSE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_text_VVR3,<p>A vending machine is overflowing with snacks.</p><br><p>You can tip the machine and see what snacks fall out.</p><br><p>Get all the snacks that you want!</p><br><p>Press any key to begin.</p>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_text_VVR3,Thank you for your input. Proceeding to the next stage.
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,degrad_pattern_VVR3,d0
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,prob_value_VVR3,0.2
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,min_blocks_num_VVR3,2
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,min_num_correct_VVR3,2
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,max_num_incorrect_VVR3,4
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_pav,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_pav,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_text_pav,<p>The vending machine is still overflowing. But it cannot be tipped now.</p><br><p>Coloured lights will appear on the machine will show you which snack will fall out.</p><br><p>Press any key to begin. </p>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,min_num_correct_pav,4
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,max_num_incorrect_pav,4
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_text_pav,"<p>The vending machine is still overflowing, and you can tip it again now.</p><br> <p>The coloured lights will sometimes appear.</p><br> <p>You won't always see the snack fall out. All the snacks you get will be recorded.</p><br><p>Get all the snacks that you want!</p><br><p>Press any key to begin. </p>"
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_transfer_test,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_transfer_test,FALSE
